What has to be broken before you can use it?	Egg
I’m tall when I’m young, and I’m short when I’m old. What am I?	Candle
What is full of holes but still holds water?	Sponge
What is always in front of you but can’t be seen?	Future
What can you break, even if you never pick it up or touch it?	Promise
What goes up but never comes down?	Age
What gets wet while drying?	Towel
I shave every day, but my beard stays the same. What am I?	Barber
I have branches, but no fruit, trunk or leaves. What am I?	Bank
What can’t talk but will reply when spoken to?	Echo
The more of this there is, the less you see. What is it?	Darkness
What has many keys but can’t open a single lock?	Piano
What is black when it’s clean and white when it’s dirty?	Chalkboard
Where does today come before yesterday?	Dictionary
What has lots of eyes, but can’t see?	Potato
What has hands, but can’t clap?	Clock
What has one head, one foot and four legs?	Bed
What has many teeth, but can’t bite?	Comb
What has words, but never speaks?	Book
What can travel all around the world without leaving its corner?	Stamp
What has a thumb and four fingers, but is not a hand?	Glove
What has a head and a tail but no body?	Coin
What building has the most stories?	Library
It stalks the countryside with ears that can’t hear. What is it?	Corn
If two’s company, and three’s a crowd, what are four and five?	Nine
What five-letter word becomes shorter when you add two letters to it?	Short
What is 3/7 chicken, 2/3 cat and 2/4 goat?	Chicago
I am a word of letters three; add two and fewer there will be. What word am I?	Few
What is so fragile that saying its name breaks it?	Silence
What can run but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps?	River
What can fill a room but takes up no space?	Light
The more you take, the more you leave behind. What are they?	Footsteps
People make me, save me, change me, raise me. What am I?	Money
What goes through cities and fields, but never moves?	Road
I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?	Fire
The person who makes it has no need of it; the person who buys it has no use for it. The person who uses it can neither see nor feel it. What is it?	Coffin
With pointed fangs I sit and wait; with piercing force I crunch out fate; grabbing victims, proclaiming might; physically joining with a single bite. What am I?	Stapler
I have lakes with no water, mountains with no stone and cities with no buildings. What am I?	Map
What does man love more than life, hate more than death or mortal strife; that which contented men desire; the poor have, the rich require; the miser spends, the spendthrift saves, and all men carry to their graves?	Nothing
Spelled forwards I’m what you do every day, spelled backward I’m something you hate. What am I?	Live
No matter how little or how much you use me, you change me every month. What am I?	Calendar
What starts with a T, ends with a T, and has T in it?	Teapot
Forwards I am heavy, backward I am not. What am I?	Ton
What has ten letters and starts with gas?	Automobile
What goes up and down but doesn’t move?	Staircase
I’m lighter than what I am made of, and more of me is hidden than is seen. What am I?	Iceberg
Walk on the living. They don’t even mumble. Walk on the dead. They mutter and grumble. What are they?	Leaves
You heard me before, yet you hear me again. Then I die, ’till you call me again.	Echo
What has six faces but does not wear makeup, and twenty-one eyes but cannot see?	Dice
What word contains 26 letters but only has three syllables?	Alphabet
You answer me, but I never ask you a question. What am I?	Telephone
What is Medusa’s favorite cheese?	Gorgonzola
There is nothing outside, nothing on the inside light as a feather, yet ten men cannot lift it. What is it?	Bubble
I can run but not walk. The thought is not far behind me. What am I?	Nose
What flowers can be found between your nose and your chin?	Tulips
Washing makes it dirtier and dirtier. It is cleaner without washing at all.	Water
We stand on lines; when together, it’s a crime. What are we?	Crows
What is always hungry but never thirsty?	Fire
Angry and hungry are both words that end in gry. The English language has three words. What is the third?	Language
What begins with an “e” and only contains one letter?	Envelope
